Age Group,calc.ValueComma,Name
0-17,"19,405",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"28,966",Cases
18-24,16%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"73,697",Cases
25-49,41%,Percent of Cases
25-49,139,Deaths
25-49,5%,Percent of Deaths
50-64,"33,067",Cases
50-64,19%,Percent of Cases
50-64,443,Deaths
50-64,15%,Percent of Deaths
65-74,"12,012",Cases
65-74,7%,Percent of Cases
65-74,653,Deaths
65-74,23%,Percent of Deaths
75+,"10,682",Cases
75+,6%,Percent of Cases
75+,"1,658",Deaths
75+,57%,Percent of Deaths
Missing,90,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
