Age Group,calc.ValueComma,Name
0-17,"101,543",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"116,711",Cases
18-24,14%,Percent of Cases
18-24,12,Deaths
18-24,0%,Percent of Deaths
25-49,"336,555",Cases
25-49,39%,Percent of Cases
25-49,379,Deaths
25-49,3%,Percent of Deaths
50-64,"175,263",Cases
50-64,20%,Percent of Cases
50-64,"1,494",Deaths
50-64,13%,Percent of Deaths
65-74,"70,678",Cases
65-74,8%,Percent of Cases
65-74,"2,624",Deaths
65-74,23%,Percent of Deaths
75+,"57,590",Cases
75+,7%,Percent of Cases
75+,"6,699",Deaths
75+,60%,Percent of Deaths
Missing,208,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
