Age Group,calc.ValueComma,Name
0-17,"126,119",Cases
0-17,13%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"139,689",Cases
18-24,14%,Percent of Cases
18-24,18,Deaths
18-24,0%,Percent of Deaths
25-49,"393,490",Cases
25-49,39%,Percent of Cases
25-49,487,Deaths
25-49,4%,Percent of Deaths
50-64,"200,567",Cases
50-64,20%,Percent of Cases
50-64,"1,825",Deaths
50-64,14%,Percent of Deaths
65-74,"77,811",Cases
65-74,8%,Percent of Cases
65-74,"3,071",Deaths
65-74,24%,Percent of Deaths
75+,"61,812",Cases
75+,6%,Percent of Cases
75+,"7,626",Deaths
75+,59%,Percent of Deaths
Missing,79,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
