Age Group,calc.ValueComma,Name
0-17,"15,549",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"19,471",Cases
18-24,14%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"60,578",Cases
25-49,44%,Percent of Cases
25-49,115,Deaths
25-49,5%,Percent of Deaths
50-64,"26,315",Cases
50-64,19%,Percent of Cases
50-64,349,Deaths
50-64,16%,Percent of Deaths
65-74,"9,123",Cases
65-74,7%,Percent of Cases
65-74,501,Deaths
65-74,22%,Percent of Deaths
75+,"7,954",Cases
75+,6%,Percent of Cases
75+,"1,280",Deaths
75+,57%,Percent of Deaths
Missing,71,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
