Age Group,calc.ValueComma,Name
0-17,"26,636",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"40,423",Cases
18-24,16%,Percent of Cases
18-24,4,Deaths
18-24,0%,Percent of Deaths
25-49,"99,631",Cases
25-49,40%,Percent of Cases
25-49,169,Deaths
25-49,4%,Percent of Deaths
50-64,"47,550",Cases
50-64,19%,Percent of Cases
50-64,571,Deaths
50-64,14%,Percent of Deaths
65-74,"18,400",Cases
65-74,7%,Percent of Cases
65-74,915,Deaths
65-74,23%,Percent of Deaths
75+,"16,077",Cases
75+,6%,Percent of Cases
75+,"2,332",Deaths
75+,58%,Percent of Deaths
Missing,33,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
