Age Group,calc.ValueComma,Name
0-17,"43,064",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"59,687",Cases
18-24,15%,Percent of Cases
18-24,8,Deaths
18-24,0%,Percent of Deaths
25-49,"157,146",Cases
25-49,40%,Percent of Cases
25-49,208,Deaths
25-49,4%,Percent of Deaths
50-64,"77,655",Cases
50-64,20%,Percent of Cases
50-64,774,Deaths
50-64,14%,Percent of Deaths
65-74,"30,920",Cases
65-74,8%,Percent of Cases
65-74,"1,284",Deaths
65-74,23%,Percent of Deaths
75+,"26,430",Cases
75+,7%,Percent of Cases
75+,"3,268",Deaths
75+,59%,Percent of Deaths
Missing,88,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
