Age Group,calc.ValueComma,Name
0-17,"89,018",Cases
0-17,11%,Percent of Cases
0-17,2,Deaths
0-17,0%,Percent of Deaths
18-24,"105,279",Cases
18-24,14%,Percent of Cases
18-24,11,Deaths
18-24,0%,Percent of Deaths
25-49,"305,081",Cases
25-49,39%,Percent of Cases
25-49,338,Deaths
25-49,4%,Percent of Deaths
50-64,"158,719",Cases
50-64,20%,Percent of Cases
50-64,"1,299",Deaths
50-64,14%,Percent of Deaths
65-74,"64,501",Cases
65-74,8%,Percent of Cases
65-74,"2,212",Deaths
65-74,23%,Percent of Deaths
75+,"53,520",Cases
75+,7%,Percent of Cases
75+,"5,716",Deaths
75+,60%,Percent of Deaths
Missing,189,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
