Age Group,calc.ValueComma,Name
0-17,"102,700",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"117,629",Cases
18-24,14%,Percent of Cases
18-24,13,Deaths
18-24,0%,Percent of Deaths
25-49,"339,277",Cases
25-49,39%,Percent of Cases
25-49,384,Deaths
25-49,3%,Percent of Deaths
50-64,"176,768",Cases
50-64,20%,Percent of Cases
50-64,"1,523",Deaths
50-64,13%,Percent of Deaths
65-74,"71,148",Cases
65-74,8%,Percent of Cases
65-74,"2,654",Deaths
65-74,23%,Percent of Deaths
75+,"57,827",Cases
75+,7%,Percent of Cases
75+,"6,785",Deaths
75+,60%,Percent of Deaths
Missing,205,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
