Age Group,calc.ValueComma,Name
0-17,"14,658",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"18,351",Cases
18-24,14%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"57,567",Cases
25-49,44%,Percent of Cases
25-49,105,Deaths
25-49,5%,Percent of Deaths
50-64,"24,750",Cases
50-64,19%,Percent of Cases
50-64,323,Deaths
50-64,15%,Percent of Deaths
65-74,"8,508",Cases
65-74,6%,Percent of Cases
65-74,473,Deaths
65-74,23%,Percent of Deaths
75+,"7,370",Cases
75+,6%,Percent of Cases
75+,"1,187",Deaths
75+,57%,Percent of Deaths
Missing,63,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
