Age Group,calc.ValueComma,Name
0-17,"94,421",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"110,474",Cases
18-24,14%,Percent of Cases
18-24,12,Deaths
18-24,0%,Percent of Deaths
25-49,"319,611",Cases
25-49,39%,Percent of Cases
25-49,357,Deaths
25-49,3%,Percent of Deaths
50-64,"166,528",Cases
50-64,20%,Percent of Cases
50-64,"1,384",Deaths
50-64,13%,Percent of Deaths
65-74,"67,683",Cases
65-74,8%,Percent of Cases
65-74,"2,423",Deaths
65-74,23%,Percent of Deaths
75+,"55,694",Cases
75+,7%,Percent of Cases
75+,"6,197",Deaths
75+,60%,Percent of Deaths
Missing,183,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
