Age Group,calc.ValueComma,Name
0-17,"75,113",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"91,477",Cases
18-24,14%,Percent of Cases
18-24,10,Deaths
18-24,0%,Percent of Deaths
25-49,"263,067",Cases
25-49,39%,Percent of Cases
25-49,293,Deaths
25-49,4%,Percent of Deaths
50-64,"135,887",Cases
50-64,20%,Percent of Cases
50-64,"1,088",Deaths
50-64,14%,Percent of Deaths
65-74,"55,538",Cases
65-74,8%,Percent of Cases
65-74,"1,839",Deaths
65-74,23%,Percent of Deaths
75+,"46,539",Cases
75+,7%,Percent of Cases
75+,"4,784",Deaths
75+,60%,Percent of Deaths
Missing,205,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
