Age Group,calc.ValueComma,Name
0-17,"85,382",Cases
0-17,11%,Percent of Cases
0-17,2,Deaths
0-17,0%,Percent of Deaths
18-24,"101,285",Cases
18-24,14%,Percent of Cases
18-24,11,Deaths
18-24,0%,Percent of Deaths
25-49,"293,004",Cases
25-49,39%,Percent of Cases
25-49,324,Deaths
25-49,4%,Percent of Deaths
50-64,"152,426",Cases
50-64,20%,Percent of Cases
50-64,"1,240",Deaths
50-64,14%,Percent of Deaths
65-74,"62,201",Cases
65-74,8%,Percent of Cases
65-74,"2,118",Deaths
65-74,23%,Percent of Deaths
75+,"51,982",Cases
75+,7%,Percent of Cases
75+,"5,462",Deaths
75+,60%,Percent of Deaths
Missing,179,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
