Age Group,calc.ValueComma,Name
0-17,"18,558",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"26,937",Cases
18-24,16%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"70,836",Cases
25-49,42%,Percent of Cases
25-49,131,Deaths
25-49,5%,Percent of Deaths
50-64,"31,524",Cases
50-64,19%,Percent of Cases
50-64,425,Deaths
50-64,16%,Percent of Deaths
65-74,"11,401",Cases
65-74,7%,Percent of Cases
65-74,619,Deaths
65-74,23%,Percent of Deaths
75+,"10,074",Cases
75+,6%,Percent of Cases
75+,"1,561",Deaths
75+,57%,Percent of Deaths
Missing,94,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
