Age Group,calc.ValueComma,Name
0-17,"18,202",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"26,080",Cases
18-24,16%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"69,679",Cases
25-49,42%,Percent of Cases
25-49,130,Deaths
25-49,5%,Percent of Deaths
50-64,"31,009",Cases
50-64,19%,Percent of Cases
50-64,422,Deaths
50-64,16%,Percent of Deaths
65-74,"11,164",Cases
65-74,7%,Percent of Cases
65-74,605,Deaths
65-74,22%,Percent of Deaths
75+,"9,898",Cases
75+,6%,Percent of Cases
75+,"1,529",Deaths
75+,57%,Percent of Deaths
Missing,95,Cases
Missing,,Percent of Cases
Missing,2,Deaths
Missing,,Percent of Deaths
