Age Group,calc.ValueComma,Name
0-17,"95,014",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"111,067",Cases
18-24,14%,Percent of Cases
18-24,12,Deaths
18-24,0%,Percent of Deaths
25-49,"321,123",Cases
25-49,39%,Percent of Cases
25-49,358,Deaths
25-49,3%,Percent of Deaths
50-64,"167,387",Cases
50-64,20%,Percent of Cases
50-64,"1,394",Deaths
50-64,13%,Percent of Deaths
65-74,"68,020",Cases
65-74,8%,Percent of Cases
65-74,"2,439",Deaths
65-74,23%,Percent of Deaths
75+,"55,922",Cases
75+,7%,Percent of Cases
75+,"6,247",Deaths
75+,60%,Percent of Deaths
Missing,191,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
