Age Group,calc.ValueComma,Name
0-17,"28,003",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"42,192",Cases
18-24,16%,Percent of Cases
18-24,4,Deaths
18-24,0%,Percent of Deaths
25-49,"104,573",Cases
25-49,40%,Percent of Cases
25-49,172,Deaths
25-49,4%,Percent of Deaths
50-64,"50,247",Cases
50-64,19%,Percent of Cases
50-64,605,Deaths
50-64,15%,Percent of Deaths
65-74,"19,542",Cases
65-74,7%,Percent of Cases
65-74,958,Deaths
65-74,23%,Percent of Deaths
75+,"17,162",Cases
75+,7%,Percent of Cases
75+,"2,430",Deaths
75+,58%,Percent of Deaths
Missing,23,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
