Age Group,calc.ValueComma,Name
0-17,"110,452",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"125,561",Cases
18-24,14%,Percent of Cases
18-24,15,Deaths
18-24,0%,Percent of Deaths
25-49,"359,811",Cases
25-49,39%,Percent of Cases
25-49,417,Deaths
25-49,3%,Percent of Deaths
50-64,"186,843",Cases
50-64,20%,Percent of Cases
50-64,"1,640",Deaths
50-64,14%,Percent of Deaths
65-74,"73,867",Cases
65-74,8%,Percent of Cases
65-74,"2,853",Deaths
65-74,24%,Percent of Deaths
75+,"59,441",Cases
75+,6%,Percent of Cases
75+,"7,207",Deaths
75+,59%,Percent of Deaths
Missing,184,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
