Age Group,calc.ValueComma,Name
0-17,"12,243",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"15,324",Cases
18-24,14%,Percent of Cases
18-24,2,Deaths
18-24,0%,Percent of Deaths
25-49,"49,363",Cases
25-49,44%,Percent of Cases
25-49,95,Deaths
25-49,5%,Percent of Deaths
50-64,"20,979",Cases
50-64,19%,Percent of Cases
50-64,282,Deaths
50-64,16%,Percent of Deaths
65-74,"7,034",Cases
65-74,6%,Percent of Cases
65-74,383,Deaths
65-74,22%,Percent of Deaths
75+,"6,109",Cases
75+,6%,Percent of Cases
75+,"1,015",Deaths
75+,57%,Percent of Deaths
Missing,40,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
