Age Group,calc.ValueComma,Name
0-17,"86,212",Cases
0-17,11%,Percent of Cases
0-17,2,Deaths
0-17,0%,Percent of Deaths
18-24,"102,095",Cases
18-24,14%,Percent of Cases
18-24,11,Deaths
18-24,0%,Percent of Deaths
25-49,"295,393",Cases
25-49,39%,Percent of Cases
25-49,328,Deaths
25-49,4%,Percent of Deaths
50-64,"153,692",Cases
50-64,20%,Percent of Cases
50-64,"1,257",Deaths
50-64,14%,Percent of Deaths
65-74,"62,673",Cases
65-74,8%,Percent of Cases
65-74,"2,144",Deaths
65-74,23%,Percent of Deaths
75+,"52,378",Cases
75+,7%,Percent of Cases
75+,"5,545",Deaths
75+,60%,Percent of Deaths
Missing,184,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
