Age Group,calc.ValueComma,Name
0-17,"20,916",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"32,070",Cases
18-24,17%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"79,686",Cases
25-49,41%,Percent of Cases
25-49,153,Deaths
25-49,5%,Percent of Deaths
50-64,"36,333",Cases
50-64,19%,Percent of Cases
50-64,483,Deaths
50-64,15%,Percent of Deaths
65-74,"13,413",Cases
65-74,7%,Percent of Cases
65-74,746,Deaths
65-74,23%,Percent of Deaths
75+,"11,937",Cases
75+,6%,Percent of Cases
75+,"1,861",Deaths
75+,57%,Percent of Deaths
Missing,26,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
