Age Group,calc.ValueComma,Name
0-17,"9,222",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"11,471",Cases
18-24,13%,Percent of Cases
18-24,2,Deaths
18-24,0%,Percent of Deaths
25-49,"38,361",Cases
25-49,45%,Percent of Cases
25-49,80,Deaths
25-49,5%,Percent of Deaths
50-64,"16,342",Cases
50-64,19%,Percent of Cases
50-64,237,Deaths
50-64,16%,Percent of Deaths
65-74,"5,354",Cases
65-74,6%,Percent of Cases
65-74,301,Deaths
65-74,20%,Percent of Deaths
75+,"4,880",Cases
75+,6%,Percent of Cases
75+,882,Deaths
75+,59%,Percent of Deaths
Missing,71,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
