Age Group,calc.ValueComma,Name
0-17,"39,997",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"56,361",Cases
18-24,15%,Percent of Cases
18-24,6,Deaths
18-24,0%,Percent of Deaths
25-49,"146,067",Cases
25-49,40%,Percent of Cases
25-49,206,Deaths
25-49,4%,Percent of Deaths
50-64,"71,993",Cases
50-64,20%,Percent of Cases
50-64,742,Deaths
50-64,14%,Percent of Deaths
65-74,"28,530",Cases
65-74,8%,Percent of Cases
65-74,"1,226",Deaths
65-74,23%,Percent of Deaths
75+,"24,375",Cases
75+,7%,Percent of Cases
75+,"3,103",Deaths
75+,59%,Percent of Deaths
Missing,72,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
