Age Group,calc.ValueComma,Name
0-17,"64,534",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"80,880",Cases
18-24,14%,Percent of Cases
18-24,9,Deaths
18-24,0%,Percent of Deaths
25-49,"230,200",Cases
25-49,40%,Percent of Cases
25-49,262,Deaths
25-49,4%,Percent of Deaths
50-64,"118,159",Cases
50-64,20%,Percent of Cases
50-64,971,Deaths
50-64,14%,Percent of Deaths
65-74,"48,039",Cases
65-74,8%,Percent of Cases
65-74,"1,607",Deaths
65-74,23%,Percent of Deaths
75+,"40,372",Cases
75+,7%,Percent of Cases
75+,"4,226",Deaths
75+,60%,Percent of Deaths
Missing,164,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
