Age Group,calc.ValueComma,Name
0-17,"92,250",Cases
0-17,12%,Percent of Cases
0-17,2,Deaths
0-17,0%,Percent of Deaths
18-24,"108,394",Cases
18-24,14%,Percent of Cases
18-24,11,Deaths
18-24,0%,Percent of Deaths
25-49,"313,733",Cases
25-49,39%,Percent of Cases
25-49,349,Deaths
25-49,3%,Percent of Deaths
50-64,"163,378",Cases
50-64,20%,Percent of Cases
50-64,"1,348",Deaths
50-64,13%,Percent of Deaths
65-74,"66,461",Cases
65-74,8%,Percent of Cases
65-74,"2,312",Deaths
65-74,23%,Percent of Deaths
75+,"54,879",Cases
75+,7%,Percent of Cases
75+,"5,969",Deaths
75+,60%,Percent of Deaths
Missing,184,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
