Age Group,calc.ValueComma,Name
0-17,"19,642",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"29,562",Cases
18-24,16%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"74,707",Cases
25-49,41%,Percent of Cases
25-49,143,Deaths
25-49,5%,Percent of Deaths
50-64,"33,607",Cases
50-64,19%,Percent of Cases
50-64,452,Deaths
50-64,15%,Percent of Deaths
65-74,"12,265",Cases
65-74,7%,Percent of Cases
65-74,679,Deaths
65-74,23%,Percent of Deaths
75+,"10,881",Cases
75+,6%,Percent of Cases
75+,"1,712",Deaths
75+,57%,Percent of Deaths
Missing,90,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
