Age Group,calc.ValueComma,Name
0-17,"123,396",Cases
0-17,13%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"137,706",Cases
18-24,14%,Percent of Cases
18-24,17,Deaths
18-24,0%,Percent of Deaths
25-49,"388,306",Cases
25-49,39%,Percent of Cases
25-49,468,Deaths
25-49,4%,Percent of Deaths
50-64,"198,418",Cases
50-64,20%,Percent of Cases
50-64,"1,781",Deaths
50-64,14%,Percent of Deaths
65-74,"77,131",Cases
65-74,8%,Percent of Cases
65-74,"3,010",Deaths
65-74,23%,Percent of Deaths
75+,"61,378",Cases
75+,6%,Percent of Cases
75+,"7,550",Deaths
75+,59%,Percent of Deaths
Missing,108,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
