Age Group,calc.ValueComma,Name
0-17,"52,623",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"68,754",Cases
18-24,15%,Percent of Cases
18-24,9,Deaths
18-24,0%,Percent of Deaths
25-49,"187,541",Cases
25-49,40%,Percent of Cases
25-49,231,Deaths
25-49,4%,Percent of Deaths
50-64,"93,816",Cases
50-64,20%,Percent of Cases
50-64,852,Deaths
50-64,14%,Percent of Deaths
65-74,"37,601",Cases
65-74,8%,Percent of Cases
65-74,"1,415",Deaths
65-74,23%,Percent of Deaths
75+,"31,782",Cases
75+,7%,Percent of Cases
75+,"3,676",Deaths
75+,59%,Percent of Deaths
Missing,151,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
