Age Group,calc.ValueComma,Name
0-17,"69,485",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"85,870",Cases
18-24,14%,Percent of Cases
18-24,9,Deaths
18-24,0%,Percent of Deaths
25-49,"246,010",Cases
25-49,39%,Percent of Cases
25-49,285,Deaths
25-49,4%,Percent of Deaths
50-64,"126,661",Cases
50-64,20%,Percent of Cases
50-64,"1,022",Deaths
50-64,14%,Percent of Deaths
65-74,"51,633",Cases
65-74,8%,Percent of Cases
65-74,"1,727",Deaths
65-74,23%,Percent of Deaths
75+,"43,348",Cases
75+,7%,Percent of Cases
75+,"4,523",Deaths
75+,60%,Percent of Deaths
Missing,181,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
