Age Group,calc.ValueComma,Name
0-17,"35,114",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"51,176",Cases
18-24,16%,Percent of Cases
18-24,4,Deaths
18-24,0%,Percent of Deaths
25-49,"129,431",Cases
25-49,40%,Percent of Cases
25-49,190,Deaths
25-49,4%,Percent of Deaths
50-64,"63,237",Cases
50-64,19%,Percent of Cases
50-64,704,Deaths
50-64,14%,Percent of Deaths
65-74,"24,810",Cases
65-74,8%,Percent of Cases
65-74,"1,152",Deaths
65-74,23%,Percent of Deaths
75+,"21,337",Cases
75+,7%,Percent of Cases
75+,"2,885",Deaths
75+,58%,Percent of Deaths
Missing,53,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
