Age Group,calc.ValueComma,Name
0-17,"28,247",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"42,520",Cases
18-24,16%,Percent of Cases
18-24,4,Deaths
18-24,0%,Percent of Deaths
25-49,"105,347",Cases
25-49,40%,Percent of Cases
25-49,175,Deaths
25-49,4%,Percent of Deaths
50-64,"50,701",Cases
50-64,19%,Percent of Cases
50-64,607,Deaths
50-64,14%,Percent of Deaths
65-74,"19,740",Cases
65-74,7%,Percent of Cases
65-74,966,Deaths
65-74,23%,Percent of Deaths
75+,"17,305",Cases
75+,7%,Percent of Cases
75+,"2,458",Deaths
75+,58%,Percent of Deaths
Missing,23,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
