Age Group,calc.ValueComma,Name
0-17,"14,320",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"17,887",Cases
18-24,14%,Percent of Cases
18-24,2,Deaths
18-24,0%,Percent of Deaths
25-49,"56,316",Cases
25-49,44%,Percent of Cases
25-49,105,Deaths
25-49,5%,Percent of Deaths
50-64,"24,180",Cases
50-64,19%,Percent of Cases
50-64,316,Deaths
50-64,16%,Percent of Deaths
65-74,"8,261",Cases
65-74,6%,Percent of Cases
65-74,451,Deaths
65-74,22%,Percent of Deaths
75+,"7,144",Cases
75+,6%,Percent of Cases
75+,"1,135",Deaths
75+,56%,Percent of Deaths
Missing,53,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
