Age Group,calc.ValueComma,Name
0-17,"16,229",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"20,482",Cases
18-24,14%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"62,974",Cases
25-49,43%,Percent of Cases
25-49,120,Deaths
25-49,5%,Percent of Deaths
50-64,"27,575",Cases
50-64,19%,Percent of Cases
50-64,361,Deaths
50-64,15%,Percent of Deaths
65-74,"9,682",Cases
65-74,7%,Percent of Cases
65-74,519,Deaths
65-74,22%,Percent of Deaths
75+,"8,492",Cases
75+,6%,Percent of Cases
75+,"1,344",Deaths
75+,57%,Percent of Deaths
Missing,82,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
