Age Group,calc.ValueComma,Name
0-17,"21,031",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"32,267",Cases
18-24,17%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"80,100",Cases
25-49,41%,Percent of Cases
25-49,153,Deaths
25-49,5%,Percent of Deaths
50-64,"36,564",Cases
50-64,19%,Percent of Cases
50-64,488,Deaths
50-64,15%,Percent of Deaths
65-74,"13,518",Cases
65-74,7%,Percent of Cases
65-74,754,Deaths
65-74,23%,Percent of Deaths
75+,"12,042",Cases
75+,6%,Percent of Cases
75+,"1,887",Deaths
75+,57%,Percent of Deaths
Missing,27,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
