Age Group,calc.ValueComma,Name
0-17,"18,358",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"26,370",Cases
18-24,16%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"70,098",Cases
25-49,42%,Percent of Cases
25-49,130,Deaths
25-49,5%,Percent of Deaths
50-64,"31,175",Cases
50-64,19%,Percent of Cases
50-64,423,Deaths
50-64,16%,Percent of Deaths
65-74,"11,262",Cases
65-74,7%,Percent of Cases
65-74,612,Deaths
65-74,23%,Percent of Deaths
75+,"9,956",Cases
75+,6%,Percent of Cases
75+,"1,531",Deaths
75+,57%,Percent of Deaths
Missing,94,Cases
Missing,,Percent of Cases
Missing,2,Deaths
Missing,,Percent of Deaths
