Age Group,calc.ValueComma,Name
0-17,"77,227",Cases
0-17,11%,Percent of Cases
0-17,2,Deaths
0-17,0%,Percent of Deaths
18-24,"93,561",Cases
18-24,14%,Percent of Cases
18-24,10,Deaths
18-24,0%,Percent of Deaths
25-49,"269,292",Cases
25-49,39%,Percent of Cases
25-49,297,Deaths
25-49,4%,Percent of Deaths
50-64,"139,439",Cases
50-64,20%,Percent of Cases
50-64,"1,100",Deaths
50-64,14%,Percent of Deaths
65-74,"57,081",Cases
65-74,8%,Percent of Cases
65-74,"1,874",Deaths
65-74,23%,Percent of Deaths
75+,"47,687",Cases
75+,7%,Percent of Cases
75+,"4,855",Deaths
75+,60%,Percent of Deaths
Missing,210,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
