Age Group,calc.ValueComma,Name
0-17,"86,874",Cases
0-17,11%,Percent of Cases
0-17,2,Deaths
0-17,0%,Percent of Deaths
18-24,"102,714",Cases
18-24,14%,Percent of Cases
18-24,11,Deaths
18-24,0%,Percent of Deaths
25-49,"297,247",Cases
25-49,39%,Percent of Cases
25-49,331,Deaths
25-49,4%,Percent of Deaths
50-64,"154,743",Cases
50-64,20%,Percent of Cases
50-64,"1,267",Deaths
50-64,14%,Percent of Deaths
65-74,"63,091",Cases
65-74,8%,Percent of Cases
65-74,"2,150",Deaths
65-74,23%,Percent of Deaths
75+,"52,676",Cases
75+,7%,Percent of Cases
75+,"5,574",Deaths
75+,60%,Percent of Deaths
Missing,181,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
