Age Group,calc.ValueComma,Name
0-17,"16,035",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"20,153",Cases
18-24,14%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"62,374",Cases
25-49,43%,Percent of Cases
25-49,119,Deaths
25-49,5%,Percent of Deaths
50-64,"27,202",Cases
50-64,19%,Percent of Cases
50-64,361,Deaths
50-64,15%,Percent of Deaths
65-74,"9,516",Cases
65-74,7%,Percent of Cases
65-74,518,Deaths
65-74,22%,Percent of Deaths
75+,"8,345",Cases
75+,6%,Percent of Cases
75+,"1,341",Deaths
75+,57%,Percent of Deaths
Missing,81,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
