Age Group,calc.ValueComma,Name
0-17,"80,773",Cases
0-17,11%,Percent of Cases
0-17,2,Deaths
0-17,0%,Percent of Deaths
18-24,"97,050",Cases
18-24,14%,Percent of Cases
18-24,10,Deaths
18-24,0%,Percent of Deaths
25-49,"280,028",Cases
25-49,39%,Percent of Cases
25-49,311,Deaths
25-49,4%,Percent of Deaths
50-64,"145,426",Cases
50-64,20%,Percent of Cases
50-64,"1,165",Deaths
50-64,14%,Percent of Deaths
65-74,"59,455",Cases
65-74,8%,Percent of Cases
65-74,"1,981",Deaths
65-74,23%,Percent of Deaths
75+,"49,774",Cases
75+,7%,Percent of Cases
75+,"5,116",Deaths
75+,60%,Percent of Deaths
Missing,210,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
