Age Group,calc.ValueComma,Name
0-17,"121,053",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"136,019",Cases
18-24,14%,Percent of Cases
18-24,17,Deaths
18-24,0%,Percent of Deaths
25-49,"383,808",Cases
25-49,39%,Percent of Cases
25-49,454,Deaths
25-49,4%,Percent of Deaths
50-64,"196,610",Cases
50-64,20%,Percent of Cases
50-64,"1,746",Deaths
50-64,14%,Percent of Deaths
65-74,"76,575",Cases
65-74,8%,Percent of Cases
65-74,"2,986",Deaths
65-74,24%,Percent of Deaths
75+,"61,044",Cases
75+,6%,Percent of Cases
75+,"7,493",Deaths
75+,59%,Percent of Deaths
Missing,191,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
