Age Group,calc.ValueComma,Name
0-17,"38,589",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"54,914",Cases
18-24,15%,Percent of Cases
18-24,6,Deaths
18-24,0%,Percent of Deaths
25-49,"140,876",Cases
25-49,40%,Percent of Cases
25-49,202,Deaths
25-49,4%,Percent of Deaths
50-64,"69,230",Cases
50-64,20%,Percent of Cases
50-64,735,Deaths
50-64,14%,Percent of Deaths
65-74,"27,381",Cases
65-74,8%,Percent of Cases
65-74,"1,212",Deaths
65-74,23%,Percent of Deaths
75+,"23,458",Cases
75+,7%,Percent of Cases
75+,"3,054",Deaths
75+,59%,Percent of Deaths
Missing,66,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
