Age Group,calc.ValueComma,Name
0-17,"41,002",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"57,592",Cases
18-24,15%,Percent of Cases
18-24,7,Deaths
18-24,0%,Percent of Deaths
25-49,"150,154",Cases
25-49,40%,Percent of Cases
25-49,206,Deaths
25-49,4%,Percent of Deaths
50-64,"74,008",Cases
50-64,20%,Percent of Cases
50-64,759,Deaths
50-64,14%,Percent of Deaths
65-74,"29,320",Cases
65-74,8%,Percent of Cases
65-74,"1,252",Deaths
65-74,23%,Percent of Deaths
75+,"25,074",Cases
75+,7%,Percent of Cases
75+,"3,185",Deaths
75+,59%,Percent of Deaths
Missing,81,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
