Age Group,calc.ValueComma,Name
0-17,"37,179",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"53,386",Cases
18-24,16%,Percent of Cases
18-24,5,Deaths
18-24,0%,Percent of Deaths
25-49,"136,081",Cases
25-49,40%,Percent of Cases
25-49,198,Deaths
25-49,4%,Percent of Deaths
50-64,"66,654",Cases
50-64,19%,Percent of Cases
50-64,722,Deaths
50-64,14%,Percent of Deaths
65-74,"26,332",Cases
65-74,8%,Percent of Cases
65-74,"1,180",Deaths
65-74,23%,Percent of Deaths
75+,"22,602",Cases
75+,7%,Percent of Cases
75+,"2,968",Deaths
75+,58%,Percent of Deaths
Missing,60,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
