Age Group,calc.ValueComma,Name
0-17,"9,848",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"12,304",Cases
18-24,13%,Percent of Cases
18-24,2,Deaths
18-24,0%,Percent of Deaths
25-49,"40,841",Cases
25-49,45%,Percent of Cases
25-49,87,Deaths
25-49,6%,Percent of Deaths
50-64,"17,335",Cases
50-64,19%,Percent of Cases
50-64,246,Deaths
50-64,16%,Percent of Deaths
65-74,"5,734",Cases
65-74,6%,Percent of Cases
65-74,316,Deaths
65-74,20%,Percent of Deaths
75+,"5,163",Cases
75+,6%,Percent of Cases
75+,916,Deaths
75+,58%,Percent of Deaths
Missing,41,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
