Age Group,calc.ValueComma,Name
0-17,"15,737",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"19,704",Cases
18-24,14%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"61,258",Cases
25-49,44%,Percent of Cases
25-49,116,Deaths
25-49,5%,Percent of Deaths
50-64,"26,672",Cases
50-64,19%,Percent of Cases
50-64,353,Deaths
50-64,15%,Percent of Deaths
65-74,"9,256",Cases
65-74,7%,Percent of Cases
65-74,507,Deaths
65-74,22%,Percent of Deaths
75+,"8,125",Cases
75+,6%,Percent of Cases
75+,"1,307",Deaths
75+,57%,Percent of Deaths
Missing,72,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
