Age Group,calc.ValueComma,Name
0-17,"124,983",Cases
0-17,13%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"138,689",Cases
18-24,14%,Percent of Cases
18-24,18,Deaths
18-24,0%,Percent of Deaths
25-49,"391,043",Cases
25-49,39%,Percent of Cases
25-49,475,Deaths
25-49,4%,Percent of Deaths
50-64,"199,590",Cases
50-64,20%,Percent of Cases
50-64,"1,805",Deaths
50-64,14%,Percent of Deaths
65-74,"77,530",Cases
65-74,8%,Percent of Cases
65-74,"3,042",Deaths
65-74,24%,Percent of Deaths
75+,"61,633",Cases
75+,6%,Percent of Cases
75+,"7,594",Deaths
75+,59%,Percent of Deaths
Missing,79,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
