Age Group,calc.ValueComma,Name
0-17,"48,894",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"65,358",Cases
18-24,15%,Percent of Cases
18-24,8,Deaths
18-24,0%,Percent of Deaths
25-49,"175,421",Cases
25-49,40%,Percent of Cases
25-49,225,Deaths
25-49,4%,Percent of Deaths
50-64,"87,230",Cases
50-64,20%,Percent of Cases
50-64,809,Deaths
50-64,14%,Percent of Deaths
65-74,"34,841",Cases
65-74,8%,Percent of Cases
65-74,"1,347",Deaths
65-74,23%,Percent of Deaths
75+,"29,499",Cases
75+,7%,Percent of Cases
75+,"3,465",Deaths
75+,59%,Percent of Deaths
Missing,122,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
