Age Group,calc.ValueComma,Name
0-17,"40,412",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"56,883",Cases
18-24,15%,Percent of Cases
18-24,6,Deaths
18-24,0%,Percent of Deaths
25-49,"147,793",Cases
25-49,40%,Percent of Cases
25-49,206,Deaths
25-49,4%,Percent of Deaths
50-64,"72,857",Cases
50-64,20%,Percent of Cases
50-64,750,Deaths
50-64,14%,Percent of Deaths
65-74,"28,881",Cases
65-74,8%,Percent of Cases
65-74,"1,244",Deaths
65-74,23%,Percent of Deaths
75+,"24,692",Cases
75+,7%,Percent of Cases
75+,"3,159",Deaths
75+,59%,Percent of Deaths
Missing,76,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
