Age Group,calc.ValueComma,Name
0-17,"59,830",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"75,966",Cases
18-24,14%,Percent of Cases
18-24,9,Deaths
18-24,0%,Percent of Deaths
25-49,"213,643",Cases
25-49,40%,Percent of Cases
25-49,249,Deaths
25-49,4%,Percent of Deaths
50-64,"108,950",Cases
50-64,20%,Percent of Cases
50-64,927,Deaths
50-64,14%,Percent of Deaths
65-74,"43,933",Cases
65-74,8%,Percent of Cases
65-74,"1,544",Deaths
65-74,23%,Percent of Deaths
75+,"37,085",Cases
75+,7%,Percent of Cases
75+,"4,018",Deaths
75+,60%,Percent of Deaths
Missing,138,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
