Age Group,calc.ValueComma,Name
0-17,"57,455",Cases
0-17,11%,Percent of Cases
0-17,2,Deaths
0-17,0%,Percent of Deaths
18-24,"73,488",Cases
18-24,14%,Percent of Cases
18-24,9,Deaths
18-24,0%,Percent of Deaths
25-49,"204,595",Cases
25-49,40%,Percent of Cases
25-49,244,Deaths
25-49,4%,Percent of Deaths
50-64,"103,881",Cases
50-64,20%,Percent of Cases
50-64,900,Deaths
50-64,14%,Percent of Deaths
65-74,"41,878",Cases
65-74,8%,Percent of Cases
65-74,"1,493",Deaths
65-74,23%,Percent of Deaths
75+,"35,358",Cases
75+,7%,Percent of Cases
75+,"3,901",Deaths
75+,60%,Percent of Deaths
Missing,173,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
