Age Group,calc.ValueComma,Name
0-17,"39,001",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"55,343",Cases
18-24,15%,Percent of Cases
18-24,6,Deaths
18-24,0%,Percent of Deaths
25-49,"142,290",Cases
25-49,40%,Percent of Cases
25-49,204,Deaths
25-49,4%,Percent of Deaths
50-64,"69,918",Cases
50-64,20%,Percent of Cases
50-64,735,Deaths
50-64,14%,Percent of Deaths
65-74,"27,665",Cases
65-74,8%,Percent of Cases
65-74,"1,214",Deaths
65-74,23%,Percent of Deaths
75+,"23,674",Cases
75+,7%,Percent of Cases
75+,"3,059",Deaths
75+,59%,Percent of Deaths
Missing,67,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
