Age Group,calc.ValueComma,Name
0-17,"11,820",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"14,640",Cases
18-24,14%,Percent of Cases
18-24,2,Deaths
18-24,0%,Percent of Deaths
25-49,"47,528",Cases
25-49,44%,Percent of Cases
25-49,93,Deaths
25-49,5%,Percent of Deaths
50-64,"20,185",Cases
50-64,19%,Percent of Cases
50-64,272,Deaths
50-64,16%,Percent of Deaths
65-74,"6,748",Cases
65-74,6%,Percent of Cases
65-74,369,Deaths
65-74,21%,Percent of Deaths
75+,"5,931",Cases
75+,6%,Percent of Cases
75+,989,Deaths
75+,57%,Percent of Deaths
Missing,41,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
