Age Group,calc.ValueComma,Name
0-17,"111,571",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"126,829",Cases
18-24,14%,Percent of Cases
18-24,16,Deaths
18-24,0%,Percent of Deaths
25-49,"362,864",Cases
25-49,39%,Percent of Cases
25-49,422,Deaths
25-49,3%,Percent of Deaths
50-64,"188,155",Cases
50-64,20%,Percent of Cases
50-64,"1,654",Deaths
50-64,14%,Percent of Deaths
65-74,"74,205",Cases
65-74,8%,Percent of Cases
65-74,"2,866",Deaths
65-74,24%,Percent of Deaths
75+,"59,625",Cases
75+,6%,Percent of Cases
75+,"7,227",Deaths
75+,59%,Percent of Deaths
Missing,181,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
