Age Group,calc.ValueComma,Name
0-17,"31,595",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"46,686",Cases
18-24,16%,Percent of Cases
18-24,4,Deaths
18-24,0%,Percent of Deaths
25-49,"116,843",Cases
25-49,40%,Percent of Cases
25-49,182,Deaths
25-49,4%,Percent of Deaths
50-64,"56,691",Cases
50-64,19%,Percent of Cases
50-64,658,Deaths
50-64,14%,Percent of Deaths
65-74,"22,275",Cases
65-74,8%,Percent of Cases
65-74,"1,059",Deaths
65-74,23%,Percent of Deaths
75+,"19,212",Cases
75+,7%,Percent of Cases
75+,"2,703",Deaths
75+,59%,Percent of Deaths
Missing,37,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
