Age Group,calc.ValueComma,Name
0-17,"82,799",Cases
0-17,11%,Percent of Cases
0-17,2,Deaths
0-17,0%,Percent of Deaths
18-24,"98,816",Cases
18-24,14%,Percent of Cases
18-24,11,Deaths
18-24,0%,Percent of Deaths
25-49,"285,764",Cases
25-49,39%,Percent of Cases
25-49,316,Deaths
25-49,4%,Percent of Deaths
50-64,"148,428",Cases
50-64,20%,Percent of Cases
50-64,"1,191",Deaths
50-64,14%,Percent of Deaths
65-74,"60,689",Cases
65-74,8%,Percent of Cases
65-74,"2,030",Deaths
65-74,23%,Percent of Deaths
75+,"50,746",Cases
75+,7%,Percent of Cases
75+,"5,226",Deaths
75+,60%,Percent of Deaths
Missing,181,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
