Age Group,calc.ValueComma,Name
0-17,"99,871",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"115,745",Cases
18-24,14%,Percent of Cases
18-24,12,Deaths
18-24,0%,Percent of Deaths
25-49,"334,425",Cases
25-49,39%,Percent of Cases
25-49,375,Deaths
25-49,3%,Percent of Deaths
50-64,"174,541",Cases
50-64,20%,Percent of Cases
50-64,"1,483",Deaths
50-64,13%,Percent of Deaths
65-74,"70,560",Cases
65-74,8%,Percent of Cases
65-74,"2,608",Deaths
65-74,23%,Percent of Deaths
75+,"57,629",Cases
75+,7%,Percent of Cases
75+,"6,656",Deaths
75+,60%,Percent of Deaths
Missing,210,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
