Age Group,calc.ValueComma,Name
0-17,"28,780",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"43,277",Cases
18-24,16%,Percent of Cases
18-24,4,Deaths
18-24,0%,Percent of Deaths
25-49,"107,368",Cases
25-49,40%,Percent of Cases
25-49,176,Deaths
25-49,4%,Percent of Deaths
50-64,"51,719",Cases
50-64,19%,Percent of Cases
50-64,615,Deaths
50-64,14%,Percent of Deaths
65-74,"20,175",Cases
65-74,8%,Percent of Cases
65-74,984,Deaths
65-74,23%,Percent of Deaths
75+,"17,675",Cases
75+,7%,Percent of Cases
75+,"2,503",Deaths
75+,58%,Percent of Deaths
Missing,27,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
