Age Group,calc.ValueComma,Name
0-17,"22,173",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"34,255",Cases
18-24,17%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"84,053",Cases
25-49,41%,Percent of Cases
25-49,157,Deaths
25-49,5%,Percent of Deaths
50-64,"38,523",Cases
50-64,19%,Percent of Cases
50-64,508,Deaths
50-64,15%,Percent of Deaths
65-74,"14,345",Cases
65-74,7%,Percent of Cases
65-74,782,Deaths
65-74,23%,Percent of Deaths
75+,"12,705",Cases
75+,6%,Percent of Cases
75+,"1,989",Deaths
75+,58%,Percent of Deaths
Missing,36,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
