Age Group,calc.ValueComma,Name
0-17,"54,563",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"70,549",Cases
18-24,14%,Percent of Cases
18-24,9,Deaths
18-24,0%,Percent of Deaths
25-49,"193,997",Cases
25-49,40%,Percent of Cases
25-49,236,Deaths
25-49,4%,Percent of Deaths
50-64,"97,456",Cases
50-64,20%,Percent of Cases
50-64,867,Deaths
50-64,14%,Percent of Deaths
65-74,"39,161",Cases
65-74,8%,Percent of Cases
65-74,"1,441",Deaths
65-74,23%,Percent of Deaths
75+,"33,013",Cases
75+,7%,Percent of Cases
75+,"3,737",Deaths
75+,59%,Percent of Deaths
Missing,163,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
