Age Group,calc.ValueComma,Name
0-17,"51,818",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"68,163",Cases
18-24,15%,Percent of Cases
18-24,9,Deaths
18-24,0%,Percent of Deaths
25-49,"185,172",Cases
25-49,40%,Percent of Cases
25-49,231,Deaths
25-49,4%,Percent of Deaths
50-64,"92,504",Cases
50-64,20%,Percent of Cases
50-64,846,Deaths
50-64,14%,Percent of Deaths
65-74,"37,025",Cases
65-74,8%,Percent of Cases
65-74,"1,400",Deaths
65-74,23%,Percent of Deaths
75+,"31,281",Cases
75+,7%,Percent of Cases
75+,"3,638",Deaths
75+,59%,Percent of Deaths
Missing,141,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
