Age Group,calc.ValueComma,Name
0-17,"20,144",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"30,480",Cases
18-24,16%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"76,525",Cases
25-49,41%,Percent of Cases
25-49,146,Deaths
25-49,5%,Percent of Deaths
50-64,"34,595",Cases
50-64,19%,Percent of Cases
50-64,458,Deaths
50-64,15%,Percent of Deaths
65-74,"12,679",Cases
65-74,7%,Percent of Cases
65-74,704,Deaths
65-74,23%,Percent of Deaths
75+,"11,271",Cases
75+,6%,Percent of Cases
75+,"1,748",Deaths
75+,57%,Percent of Deaths
Missing,87,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
