Age Group,calc.ValueComma,Name
0-17,"19,189",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"28,473",Cases
18-24,16%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"72,984",Cases
25-49,42%,Percent of Cases
25-49,139,Deaths
25-49,5%,Percent of Deaths
50-64,"32,676",Cases
50-64,19%,Percent of Cases
50-64,443,Deaths
50-64,15%,Percent of Deaths
65-74,"11,874",Cases
65-74,7%,Percent of Cases
65-74,649,Deaths
65-74,22%,Percent of Deaths
75+,"10,529",Cases
75+,6%,Percent of Cases
75+,"1,654",Deaths
75+,57%,Percent of Deaths
Missing,90,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
