Age Group,calc.ValueComma,Name
0-17,"106,993",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"121,684",Cases
18-24,14%,Percent of Cases
18-24,13,Deaths
18-24,0%,Percent of Deaths
25-49,"350,316",Cases
25-49,39%,Percent of Cases
25-49,401,Deaths
25-49,3%,Percent of Deaths
50-64,"182,490",Cases
50-64,20%,Percent of Cases
50-64,"1,582",Deaths
50-64,13%,Percent of Deaths
65-74,"72,746",Cases
65-74,8%,Percent of Cases
65-74,"2,775",Deaths
65-74,24%,Percent of Deaths
75+,"58,817",Cases
75+,7%,Percent of Cases
75+,"7,030",Deaths
75+,60%,Percent of Deaths
Missing,183,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
